regiao,date,bruto_min,bruto_med,bruto_max,liq_min,liq_med,liq_max
Bahia,2016-01-01,0.9226,1.0429,1.1006,0.8552,0.9732,1.0293
Bahia,2016-02-01,0.9336,1.0288,1.0909,0.869,0.9625,1.0229
Bahia,2016-03-01,0.923,1.0273,1.0899,0.8571,0.9593,1.0204
Bahia,2016-04-01,0.9466,1.0512,1.1046,0.8666,0.9683,1.0212
Bahia,2016-05-01,0.9587,1.0635,1.1446,0.8896,0.9925,1.0715
Bahia,2016-06-01,1.0855,1.2256,1.362,0.9933,1.1322,1.2683
Bahia,2016-07-01,1.1858,1.3426,1.4936,1.0933,1.2484,1.3989
Bahia,2016-08-01,1.2347,1.3888,1.5419,1.1308,1.2833,1.4358
Bahia,2016-09-01,1.2398,1.381,1.5648,1.1266,1.2798,1.458
Bahia,2016-10-01,1.2099,1.3422,1.527,1.0967,1.2413,1.4205
Bahia,2016-11-01,1.0878,1.254,1.4553,1.0082,1.1532,1.3396
Bahia,2016-12-01,1.0805,1.244,1.4229,0.9901,1.1342,1.2969
Bahia,2017-01-01,1.1157,1.2468,1.449,1.0111,1.1236,1.3091
Bahia,2017-02-01,1.1594,1.2806,1.4618,1.0437,1.1551,1.3153
Bahia,2017-03-01,1.2962,1.2842,1.2841,1.1906,1.1572,1.1466
Bahia,2017-04-01,1.1213,1.277,1.4338,0.994,1.1465,1.2996
Bahia,2017-05-01,1.1014,1.2897,1.4578,0.9599,1.144,1.3083
Bahia,2017-06-01,1.0721,1.2899,1.5492,0.9278,1.1464,1.3942
Bahia,2017-07-01,1.1376,1.295,1.4937,1.0008,1.1553,1.349
Bahia,2017-08-01,1.0236,1.2411,1.4624,0.8895,1.1021,1.3185
Bahia,2017-09-01,0.9785,1.2089,1.3957,0.8524,1.0777,1.2603
Bahia,2017-10-01,0.9593,1.206,1.3846,0.8258,1.0669,1.2417
Bahia,2017-11-01,0.9349,1.1887,1.3414,0.8053,1.0534,1.2028
Bahia,2017-12-01,0.9036,1.1707,1.3403,0.7733,1.0345,1.2002
Bahia,2018-01-01,0.912,1.1628,1.3229,0.7855,1.0317,1.1886
Bahia,2018-02-01,0.9404,1.1938,1.3576,0.7968,1.0455,1.206
Bahia,2018-03-01,0.9621,1.201,1.3633,0.8136,1.0514,1.2104
Bahia,2018-04-01,1.2142,1.2866,1.3445,1.0696,1.1414,1.1979
Bahia,2018-05-01,1.1841,1.3038,1.3677,1.0136,1.1482,1.2067
Bahia,2018-06-01,1.2894,1.3636,1.4031,1.1503,1.212,1.2624
Bahia,2018-07-01,1.3342,1.399,1.5172,1.1844,1.2483,1.3647
Bahia,2018-08-01,1.3799,1.4386,1.545,1.2339,1.2916,1.3964
Bahia,2018-09-01,1.4565,1.5458,1.5941,1.3146,1.4025,1.4502
Bahia,2018-10-01,1.4774,1.5337,1.594,1.3377,1.3908,1.4502
Bahia,2018-11-01,1.4392,1.4875,1.5424,1.3006,1.3481,1.4023
Bahia,2018-12-01,1.3128,1.413,1.4585,1.1607,1.2602,1.304
Bahia,2019-01-01,1.4175,1.4274,1.4313,1.2879,1.2976,1.3015
Bahia,2019-02-01,1.5122,1.5201,1.5267,1.3807,1.3883,1.3954
Bahia,2019-03-01,1.5731,1.5813,1.5874,1.4357,1.4431,1.45
Bahia,2019-04-01,1.5296,1.5368,1.5464,1.4082,1.415,1.4264
Bahia,2019-05-01,1.4751,1.4812,1.486,1.3579,1.3634,1.3685
Bahia,2019-06-01,1.3454,1.3528,1.3548,1.2155,1.2224,1.2249
Bahia,2019-07-01,1.3948,1.4029,1.4065,1.2636,1.2716,1.2757
Bahia,2019-08-01,1.3756,1.3833,1.3857,1.2528,1.26,1.2631
Bahia,2019-09-01,1.3667,1.4217,1.4254,1.2286,1.2962,1.3002
Bahia,2019-10-01,1.3051,1.4486,1.4521,1.1492,1.3255,1.3284
Bahia,2019-11-01,1.29,1.4776,1.4804,1.1374,1.355,1.3577
Bahia,2019-12-01,NA,NA,NA,1.3467,1.3556,1.3581
Bahia,2020-01-01,NA,NA,NA,1.1293,1.4448,1.5477
Bahia,2020-02-01,NA,NA,NA,1.1258,1.4451,1.5484
Bahia,2020-03-01,NA,NA,NA,NA,1.4246,NA
Bahia,2020-04-01,NA,NA,NA,NA,1.2399,NA
Bahia,2020-05-01,NA,NA,NA,NA,1.4309,NA
Bahia,2020-06-01,NA,NA,NA,NA,1.6384,NA
